emb 0,emb 1,emb 2,emb 3,emb 4,emb 5,emb 6,emb 7,labels
1.8983557,2.010177,2.7987032,1.502333,1.5579981,0.66222274,0.97504616,1.57387,neutral
2.05666,2.2630403,2.9289196,1.7265733,1.1370348,0.32135037,1.1199505,1.6305292,neutral
1.662735,2.1402655,2.9332843,1.9947741,1.2435992,0.6789081,0.95491993,1.5479656,neutral
1.8235987,1.8401692,2.7450056,1.6216753,1.130716,0.1971921,1.2645797,1.6114876,neutral
1.7740304,2.1840765,2.8386118,1.5975829,1.04131,0.31567898,1.2518249,1.4938688,neutral
2.168096,2.0194442,2.5716422,1.6920033,1.4101098,0.19441277,1.2516743,1.2873883,neutral
1.6077459,1.8107477,2.0115204,1.0797718,1.2753979,0.981088,0.55537957,0.86531526,neutral
1.9609537,2.153048,2.7919652,1.8992977,1.3059446,0.6534366,0.97517395,1.5201689,neutral
1.5661888,2.184062,2.6250873,1.6746614,1.2031665,0.19683751,1.2906582,1.5896374,neutral
1.8749572,1.8688694,2.529355,1.3918179,1.0309172,0.44456232,1.2236925,1.5876881,neutral
1.7161831,2.334006,2.7609441,1.6897985,1.2324655,0.7408956,1.150835,1.6118288,neutral
2.192135,2.2374299,3.0146546,1.9026673,1.2743124,0.5948552,1.0199865,1.5123143,neutral
1.9819984,2.037609,3.010283,1.7961903,1.2247549,0.30919072,1.0187147,1.4056361,neutral
1.9283572,2.0845284,2.5426579,1.8113112,0.9968101,0.31081143,1.091515,1.4557602,neutral
2.1217065,2.3914495,2.8493447,1.4384847,1.2802492,0.41890115,1.0716091,1.1941777,neutral
2.0542595,2.2277627,2.8880107,1.5387726,1.1719011,0.5775364,1.0057055,1.3138548,neutral
1.8505162,2.087554,2.8144808,1.3336271,1.4099522,0.46346986,1.0234946,1.2900697,neutral
2.1585174,2.2123163,2.435846,1.4544648,1.2418085,0.4094685,1.3127493,1.6073573,neutral
1.823254,2.1997447,2.556753,1.9786923,1.3615161,0.5126506,1.1037366,1.2795529,neutral
1.998899,2.2242,2.9888513,1.597701,1.2090874,0.2794036,1.1301895,1.2630076,neutral
1.9955894,2.2456722,2.9027977,1.5924121,1.3919479,0.30801734,1.055456,1.6033742,neutral
2.1275325,2.1453583,2.8943546,1.8302248,1.2554076,0.59660167,1.0140617,1.5146426,neutral
1.9046359,1.9623482,2.8406541,1.7883024,1.2581382,0.4116218,1.0324482,1.3748255,neutral
1.6733278,2.2774472,2.857836,1.9597337,1.292745,0.30883113,1.0094113,1.6782279,neutral
1.8122302,2.397727,3.0527773,1.442787,1.4048256,0.2680027,1.1073474,1.4333143,neutral
2.05666,2.2630403,2.9289196,1.7265733,1.1370348,0.32135037,1.1199505,1.6305292,neutral
1.80882,2.132181,2.799304,1.559543,1.36779,0.5129665,1.0303205,1.1849793,neutral
1.921447,2.00979,2.6724203,1.355867,1.0787699,0.4480249,1.2718786,1.6010647,neutral
1.7920815,2.2132294,2.8124616,1.5808587,1.1233661,0.47350353,1.185262,1.3871444,neutral
1.7587255,2.3491864,2.5979607,1.6626596,1.1689773,0.44330376,1.2364403,1.2968135,neutral
1.9451634,1.8470472,2.7621064,1.7824836,1.307721,0.708486,0.8506516,1.7123948,neutral
1.6353992,1.9493372,2.8158724,1.4239804,1.3440228,0.4986581,1.0553153,1.6238008,neutral
1.9756804,2.0958643,2.6876042,1.5178839,1.3089778,0.4115385,1.0780665,1.6265239,neutral
1.9314283,2.0446036,2.5699587,1.3698325,1.3649323,0.3367743,1.2753353,1.5750153,neutral
1.504766,2.1570373,2.7358153,1.8802105,1.4617815,0.40248096,0.996391,1.4262556,neutral
1.9478616,1.9166445,2.6069539,1.611421,1.380852,0.25523296,1.1808459,1.6961772,neutral
1.9376541,2.1617174,3.0238702,1.7371684,0.95739365,0.52805036,1.2028975,1.5723433,neutral
1.6007913,2.2400756,3.1328766,1.9455787,1.2538021,0.28621733,1.2097052,1.4010321,neutral
2.2775471,1.792276,2.6002939,1.7341197,1.5521053,0.49073187,1.0763178,1.672932,neutral
1.881981,2.2114506,2.5331666,1.6881677,1.2683374,0.33266768,1.2259161,1.2696482,neutral
1.8983557,2.010177,2.7987032,1.502333,1.5579981,0.66222274,0.97504616,1.57387,neutral
1.9062102,2.0667644,3.011497,1.5344688,1.1739546,0.27678964,1.1888822,1.5405233,neutral
2.2560883,1.9511808,2.6694055,1.5097659,1.0612905,0.31351388,1.3119125,1.5154061,neutral
1.8617247,2.1191063,2.5523772,1.864364,1.108066,0.7611621,1.111896,1.4717036,neutral
1.8889222,1.961268,2.6108255,1.5907933,1.2124114,0.7147982,1.0623652,1.2690674,neutral
2.0158992,2.0958931,2.4959636,1.6145297,1.3082571,0.4603926,1.0077641,1.2137662,neutral
2.0183077,2.3035932,2.9484901,1.8607824,1.1678693,0.57657856,1.0799981,1.4563314,neutral
1.9705417,2.206762,2.5979598,1.7087225,1.2541524,0.7639802,1.0574114,1.6652849,neutral
1.8349168,2.254117,2.9615312,1.3610841,1.321869,0.26335296,1.1664401,1.413408,neutral
2.1585622,2.264112,2.6336389,1.8636559,1.3945847,0.6921259,1.1257445,1.442176,neutral
1.8610111,2.073216,2.5521953,1.9013311,0.9180047,0.66096437,1.3563646,1.2517889,neutral
1.5639527,1.9601779,2.6983192,1.5746194,1.1604512,0.4247106,1.2286693,1.3541425,neutral
1.9889698,1.992375,2.4158635,1.7502377,1.3113331,0.28059992,1.3098607,1.5784279,neutral
2.085825,2.1925116,2.5623188,1.4756973,1.2037195,0.37292853,1.2249078,1.5795408,neutral
1.7620418,2.0556004,2.5803888,1.3836416,1.2507228,0.37042528,1.1720396,1.6606929,neutral
2.0084546,2.1826162,2.5827224,1.7596443,1.45281,0.4288469,1.2377816,1.1533448,neutral
1.717956,1.7672683,2.6193228,1.5418241,1.1503783,0.4127047,1.1820186,1.5753298,neutral
1.7555332,1.9575981,2.616725,1.3800209,1.1816373,0.5843577,1.1004384,1.4962736,neutral
1.8626857,1.9030843,2.6925964,2.0286386,1.3199234,0.5990618,0.96668166,1.39044,neutral
1.8617247,2.1191063,2.5523772,1.864364,1.108066,0.7611621,1.111896,1.4717036,neutral
1.5495344,2.0613394,2.8655,1.5095733,1.1196458,0.22528628,1.3700991,1.4054285,neutral
1.6860313,1.8513716,2.8140316,1.5270834,1.3395953,0.43181175,1.0749309,1.3098141,neutral
2.158233,2.3214338,2.7128313,1.6815445,1.0333323,0.17761676,1.3363289,1.4859842,neutral
1.7636735,2.2590268,2.9274988,1.4509282,1.5800042,0.5228793,1.1677252,1.1474681,neutral
1.7443823,2.1791582,2.5750678,1.9548668,1.0708303,0.33829215,1.247096,1.3904479,neutral
1.6867372,2.1472259,2.705228,1.6475927,1.1097656,0.32347828,1.3298432,1.3000714,neutral
2.08213,2.0474222,2.8503976,1.8654088,1.1132267,0.4029685,1.1605062,1.1647193,neutral
1.7700015,2.2459996,2.8989425,1.3937466,1.3901025,0.69521374,1.2135427,1.5065001,neutral
1.8696226,2.1834106,2.5362177,1.5769355,0.9867232,0.5243677,1.2708293,1.5336107,neutral
1.8086562,1.9297127,2.648299,1.809106,1.260723,0.5058791,1.0525119,1.2976985,neutral
1.9050617,2.2675135,3.1357217,1.7304837,1.3827677,0.23287466,0.97926176,1.3437731,neutral
1.7284514,2.120537,2.8097608,1.7714001,1.3887225,0.58051986,1.0966226,1.1231894,neutral
1.9718746,2.2705286,2.6206515,1.7213926,1.4477288,0.42033765,1.1517357,1.232246,neutral
1.8648784,1.986934,2.6884563,1.6631013,1.4315832,0.36512375,0.9454004,1.3156291,neutral
1.7909999,1.9671369,2.821096,1.7340776,1.127795,0.3037026,1.2429801,1.1142637,neutral
1.9056005,2.2205248,2.8228304,1.4644259,1.303672,0.6818041,1.0553269,1.6825284,neutral
1.7576067,2.4253116,2.824658,1.9260495,1.4234011,0.64998484,1.0299015,1.4729646,neutral
2.1024368,2.044024,2.5715015,1.7077602,1.1935192,0.59708977,1.0460098,1.3576978,neutral
2.168096,2.0194442,2.5716422,1.6920033,1.4101098,0.19441277,1.2516743,1.2873883,neutral
1.9259562,2.3454926,2.6674466,1.6933769,1.4202682,0.23577482,1.1795796,1.5250102,neutral
2.0062869,2.090329,2.5490954,1.827073,0.9328781,0.24956985,1.2047453,1.4907537,neutral
1.9595731,2.1683757,2.5831058,1.9059492,1.2318965,0.23314285,1.1472615,1.3043647,neutral
2.1306434,2.3291314,2.4777937,1.8339983,1.156348,0.3924002,1.2372761,1.2851198,neutral
2.1566267,2.14565,2.7189038,1.6549906,1.0044777,0.33259457,1.2890527,1.6319296,neutral
1.8696226,2.1834106,2.5362177,1.5769355,0.9867232,0.5243677,1.2708293,1.5336107,neutral
1.662735,2.1402655,2.9332843,1.9947741,1.2435992,0.6789081,0.95491993,1.5479656,neutral
1.9666282,2.2206423,2.5284941,1.6505802,1.0753001,0.2993841,1.316816,1.4640713,neutral
1.7576067,2.4253116,2.824658,1.9260495,1.4234011,0.64998484,1.0299015,1.4729646,neutral
1.8263934,2.319421,2.5016038,1.588276,1.3067515,0.25704226,1.3173467,1.6743628,neutral
1.8546221,1.9823064,2.6130753,1.408446,1.2532767,0.40136948,1.1554465,1.6873194,neutral
2.024794,2.2464263,2.565423,1.8914183,0.95815504,0.5743948,1.1570541,1.7515153,neutral
1.7753662,2.195817,2.6662176,1.8093796,1.3319274,0.44253692,1.1977887,1.162602,neutral
2.2560883,1.9511808,2.6694055,1.5097659,1.0612905,0.31351388,1.3119125,1.5154061,neutral
1.9102076,1.9860294,2.725437,1.9340649,1.3166283,0.57524616,0.94670594,1.39141,neutral
1.983218,2.0664175,2.6090398,2.0424497,1.1466715,0.8831795,1.1513717,1.389795,neutral
1.8489184,1.8970494,2.81068,1.4616796,0.99231416,0.39337865,1.3027275,1.8336015,neutral
1.8392106,2.3074734,2.9172733,1.8075097,1.588025,0.29876602,0.9297006,1.5383849,neutral
1.9279546,1.903716,2.6694121,1.4473197,1.5289031,0.30867696,1.3566735,1.2024572,neutral
1.7407184,1.8774399,2.7801676,1.7076585,1.3124828,0.46766725,1.0247667,1.6439277,neutral
1.7069172,2.1938581,2.7582207,1.3629586,1.4506056,0.3434825,1.1945604,1.2687777,neutral
1.7404163,2.1080823,2.4816785,1.8561753,1.1096525,0.41386977,1.1922157,1.3406723,neutral
1.9304974,2.082942,2.5415502,1.8487675,1.2054297,0.28489494,1.1529603,1.3150772,neutral
2.1369758,2.0485353,2.9010913,1.8815439,1.3846321,0.3756519,0.9038587,1.7876233,neutral
1.8921312,2.2484472,2.6704211,1.5077327,1.3763548,0.32239917,1.2194232,1.4107591,neutral
2.3331938,2.4070256,2.8019855,1.6737142,1.242123,0.23603977,1.1827275,1.367182,neutral
1.8263934,2.319421,2.5016038,1.588276,1.3067515,0.25704226,1.3173467,1.6743628,neutral
2.0525029,1.9511274,2.8099158,1.4958633,1.3674817,0.22601096,1.1458482,1.8416197,neutral
1.7700015,2.2459996,2.8989425,1.3937466,1.3901025,0.69521374,1.2135427,1.5065001,neutral
1.623192,2.0357487,2.8725638,1.5115839,1.303378,0.48438814,1.0734527,1.6693488,neutral
2.085825,2.1925116,2.5623188,1.4756973,1.2037195,0.37292853,1.2249078,1.5795408,neutral
1.8634198,1.955879,2.6586275,1.4907037,1.1995863,0.54574066,1.0524557,1.4922794,neutral
1.7407184,1.8774399,2.7801676,1.7076585,1.3124828,0.46766725,1.0247667,1.6439277,neutral
2.0038931,2.0724967,2.4656076,1.768595,1.2845404,0.5049041,1.0194018,1.4188731,neutral
2.06224,2.1524744,2.8456235,1.6586092,1.3693998,0.13348371,1.1531196,1.4961847,neutral
1.7320019,2.2904599,2.8609693,1.7645428,1.2403227,0.44769332,1.1904655,1.2316248,neutral
1.8273464,2.3917832,2.5563855,1.7389357,1.3225052,0.6846803,1.1097541,1.4431722,neutral
2.170563,2.1447768,2.774416,1.5298145,1.156274,0.6058911,1.1820476,1.214553,neutral
1.7894942,1.9110961,2.6106644,1.7683846,1.2455443,0.3037605,1.1574931,1.6638104,neutral
1.825771,2.052368,2.6671891,1.75417,1.4525667,0.35932475,1.0321103,1.1821386,neutral
1.9819984,2.037609,3.010283,1.7961903,1.2247549,0.30919072,1.0187147,1.4056361,neutral
2.053378,1.9229612,2.6515813,1.9225103,1.1534106,0.56778234,1.1448915,1.214207,neutral
1.8192269,2.0764499,2.6681185,1.4580468,1.2630965,0.82722676,1.0615275,1.3360863,neutral
1.8001294,2.2655008,2.4657025,1.6403393,1.3271347,0.36378947,1.2766525,1.5392265,neutral
2.0314074,2.2642386,2.9008296,1.9184451,1.1073353,0.47669986,1.0877897,1.4113524,neutral
2.0378094,2.3843782,2.642409,1.7417752,1.6216044,0.58270353,1.1505728,1.4066557,neutral
1.8018163,2.1208012,2.890896,1.5333276,1.3435483,0.5512648,0.9694666,1.5952134,neutral
1.9675679,2.0792034,2.6052766,1.8953593,1.4172484,0.35318413,1.1007962,1.7575167,neutral
1.8626857,1.9030843,2.6925964,2.0286386,1.3199234,0.5990618,0.96668166,1.39044,neutral
1.7299765,2.0186357,2.6477919,1.3567926,1.2566413,0.4999446,1.0905291,1.4318323,neutral
1.8648784,1.986934,2.6884563,1.6631013,1.4315832,0.36512375,0.9454004,1.3156291,neutral
1.8500981,2.091626,2.917986,1.6325192,1.309592,0.028820096,1.2062355,1.6275265,neutral
2.05666,2.2630403,2.9289196,1.7265733,1.1370348,0.32135037,1.1199505,1.6305292,neutral
2.06224,2.1524744,2.8456235,1.6586092,1.3693998,0.13348371,1.1531196,1.4961847,neutral
2.1786745,2.2428083,2.4897394,1.760866,1.3394144,0.4995874,1.1444594,1.6465057,neutral
1.8630878,2.0296113,2.543982,1.717638,1.2037688,0.63490075,1.0366893,1.5674238,neutral
2.0557623,2.030892,2.5807705,1.7895973,1.195477,0.32027373,1.1607068,1.1227757,neutral
1.7801551,2.4595666,2.680782,1.6591488,1.1457855,0.35789728,1.3605837,1.2800994,neutral
1.622035,1.9763615,2.7960591,1.3563648,1.286035,0.34753,1.177724,1.5488279,neutral
