emb 0,emb 1,emb 2,emb 3,emb 4,emb 5,emb 6,emb 7,labels
1.2509218,0.9220784,1.6016192,1.8157073,0.53758115,1.0743545,2.1099472,1.6637646,neutral
1.1321704,1.0928538,1.6957519,1.837623,0.3377096,0.57500094,2.188658,1.3978462,neutral
1.065331,1.0493455,1.7160542,1.8255535,0.44944122,0.9460351,2.1297126,1.4371998,neutral
1.1600913,1.3108379,1.684243,1.5743979,0.71440697,0.65411586,2.130475,1.3288091,neutral
1.2023461,0.99258506,1.9778023,1.7777233,0.5301367,0.74786884,2.112943,1.5584936,neutral
1.1644127,1.1666392,1.645348,1.7541051,0.6050713,0.83050567,2.0158768,1.4553607,neutral
1.512029,0.70470965,1.5143564,2.0374503,0.74492913,1.4407915,1.8845727,1.8346634,neutral
1.2666363,0.964203,1.7079941,1.7738667,0.5607852,0.9531067,2.174614,1.660002,neutral
1.1561615,1.1765194,1.7408925,1.6546825,0.45563155,0.6242483,2.1685162,1.3330319,neutral
1.2620342,1.2300621,1.7882527,1.6784656,0.6932634,0.7303623,1.8834828,1.4397244,neutral
1.0966206,1.0854017,1.5939916,1.8260843,0.413645,0.77258986,2.038375,1.2987021,neutral
1.1124926,0.94603425,1.6323551,1.8846308,0.457107,0.9098633,2.1174011,1.5420783,neutral
1.1314921,1.0513439,1.8013542,1.841856,0.51919943,0.8441213,2.105305,1.5007719,neutral
1.2073185,1.1009402,1.8067245,1.7259084,0.62670696,0.7546916,1.9897237,1.4383273,neutral
1.2658879,0.7562385,1.6701237,1.9828342,0.44599795,0.8674432,2.2241929,1.6581888,neutral
1.2248955,0.9458278,1.6036903,1.943483,0.5194912,0.85340655,2.2005787,1.5511148,neutral
1.2009559,0.94070256,1.5957655,1.9427933,0.40120968,0.87387615,2.27238,1.5901003,neutral
1.310018,1.043589,1.7100464,1.7205046,0.5703136,0.7496262,2.122987,1.6413475,neutral
0.9985708,1.1976494,1.4147167,1.813411,0.5631066,0.8879475,2.0442972,1.1555812,neutral
1.1382825,0.94266343,1.7214707,1.8729532,0.39339975,0.73934674,2.1618366,1.4944772,neutral
1.2302866,0.90705603,1.8162309,1.8572057,0.47323996,0.9213525,2.0542789,1.5766112,neutral
1.2261218,1.0691952,1.5535645,1.7734674,0.5542028,0.79132384,2.1342528,1.4793664,neutral
1.1722083,1.1953139,1.7185467,1.78269,0.605432,0.868078,1.914984,1.3772746,neutral
1.0354335,1.1593958,1.7770232,1.8135072,0.35769224,0.8246574,2.0832639,1.2744366,neutral
1.1251107,0.97832674,1.61207,1.9495981,0.3487614,0.7905672,2.3350675,1.3991784,neutral
1.2357609,1.0638175,1.7104615,1.7774168,0.42467916,0.60638636,2.3249676,1.5383084,neutral
1.1580622,0.9855551,1.489835,1.886938,0.5827502,0.9684208,2.213546,1.4454669,neutral
1.2609557,1.152587,1.7345095,1.6976308,0.6868029,0.787787,2.0622177,1.5129888,neutral
1.0761341,1.0610859,1.6415396,1.8307362,0.45066172,0.73785394,2.133954,1.3470246,neutral
1.1457955,0.95342225,1.8165439,1.8100411,0.4878306,0.8762123,1.995598,1.4584291,neutral
1.2758245,1.1085998,1.6731263,1.7553014,0.5761682,0.91591424,2.0183249,1.5877765,neutral
1.193494,1.1074334,1.7121439,1.7671075,0.5366733,0.8939515,2.068623,1.4489648,neutral
1.1153969,1.2498491,1.3911257,1.8288286,0.48772186,0.7133844,2.25021,1.2895721,neutral
1.2155704,1.1699247,1.6167927,1.7199209,0.64492446,0.8217964,2.1284773,1.4426738,neutral
1.0302389,1.0710757,1.6504122,1.838353,0.34746954,0.9512637,2.1608613,1.3547527,neutral
1.2887982,1.1128128,1.8084625,1.6705717,0.579459,0.8043938,2.1831973,1.6729624,neutral
1.1499715,1.1622059,1.7790949,1.7478195,0.5914639,0.6986086,2.1715033,1.4393495,neutral
0.9728344,1.165758,1.7479545,1.7928632,0.55394375,0.8178511,2.2644038,1.2335168,neutral
1.285077,1.2400299,1.6136032,1.6938775,0.6656532,0.8381639,1.9832748,1.57084,neutral
1.1268908,1.0437639,1.6980182,1.833679,0.6016813,0.89119,2.0927348,1.4288979,neutral
1.266654,0.9643847,1.5361137,1.7946247,0.4983728,0.9872074,2.142631,1.6154019,neutral
1.1400167,1.1252708,1.7355309,1.7807839,0.47722661,0.6255087,2.1823099,1.4207816,neutral
1.1844978,1.2628465,1.6880286,1.7191296,0.65590584,0.5522792,1.9473091,1.3644985,neutral
1.117841,1.1435586,1.6738671,1.7800759,0.57653767,0.8687148,1.8588756,1.3531164,neutral
1.2741909,1.0403764,1.5885994,1.7920405,0.6986685,0.9627168,2.0570707,1.5604458,neutral
1.2959374,0.89953744,1.740582,1.8467023,0.5920028,1.0273246,2.05643,1.7017776,neutral
1.1561419,1.0421858,1.6563637,1.8589991,0.53138775,0.7247079,2.1854546,1.4156171,neutral
1.1934611,1.1440713,1.4060262,1.7701628,0.47411075,0.7289355,2.228924,1.4245906,neutral
1.1446642,0.99576986,1.6728625,1.9309675,0.4949062,0.8021493,2.2313485,1.4038594,neutral
1.2549833,0.946893,1.5827086,1.7518442,0.60998255,0.91401,2.0938659,1.6042595,neutral
1.1345463,1.0887629,1.9003284,1.6803539,0.7270706,0.8820804,1.9393483,1.5469927,neutral
1.1133845,1.1906713,1.6997102,1.7551578,0.58948547,0.74332064,2.046558,1.3231059,neutral
