emb 0,emb 1,emb 2,emb 3,emb 4,emb 5,emb 6,emb 7,labels
1.5435534,1.8004448,2.0867825,1.5853612,1.9213303,1.7878,2.1710935,1.3030484,neutral
1.9122008,1.4986805,1.7865986,1.6964284,1.6859553,1.3622835,2.1201074,1.2772444,neutral
1.8250575,2.0148592,1.8254918,1.5924385,1.8362347,1.8526338,2.1240127,1.4424461,neutral
1.6828513,1.9743434,1.7270713,1.2534245,1.8595209,1.8343368,2.1305273,1.5391349,neutral
2.1118984,1.5151057,1.6031075,1.5017164,2.0867388,1.6852964,1.9713182,1.5699743,neutral
1.8573959,1.9740113,1.8582207,1.4531996,1.9317145,1.8081115,2.2893257,1.613217,neutral
1.9981879,1.8114334,1.8625529,1.3999665,2.1412458,1.8632544,2.3138542,1.6503267,neutral
1.9262015,1.8960186,1.5339737,1.4421396,2.0473845,1.7102554,1.8443781,1.5558436,neutral
1.9172528,1.5743614,2.092534,1.6967567,1.9444463,1.5329561,2.0336788,1.4696941,neutral
1.7443328,1.8568437,1.7199392,1.5431232,1.9780807,1.6438055,2.1194708,1.6589434,neutral
2.0941055,1.4270414,1.9511131,1.6832722,1.8144026,1.280977,2.081361,1.3738787,neutral
1.7889912,1.7102339,2.3021028,1.5905182,1.7908576,1.8627042,2.522467,1.2749604,neutral
1.7050234,1.8731519,1.9512957,1.2919723,1.9312109,1.8039548,2.1170268,1.4678566,neutral
1.6675913,1.8364902,2.0208066,1.2194513,1.9642174,1.7633151,2.3392553,1.5611223,neutral
1.6035999,2.0047824,1.5979127,1.3355556,1.7764282,1.7075735,1.9266802,1.5832723,neutral
1.9196031,1.8894347,1.6013023,1.4756832,1.9683715,1.8425524,1.9553256,1.5206851,neutral
2.1693945,1.7519853,1.5512134,1.674317,2.1085687,1.459561,1.8803078,1.4024082,neutral
1.950484,1.9382308,1.9182442,1.5600287,1.9761575,2.018403,2.2686477,1.481706,neutral
1.6960813,1.6401955,1.475517,1.4841963,1.6728362,1.4176478,1.9477156,1.4640384,neutral
1.8948781,1.7858913,2.020919,1.4483379,1.9835362,1.8239442,2.204121,1.4166793,neutral
1.7316612,1.7725857,1.9325813,1.4796594,2.0060375,1.6143817,2.0556245,1.3801677,neutral
1.9614543,1.5777954,1.950946,1.520925,1.8563691,1.3863436,2.260484,1.4083427,neutral
1.970117,1.519097,2.0596082,1.4519427,1.9049125,1.653757,2.0989215,1.520303,neutral
1.970528,1.9224615,1.7827958,1.6213058,2.1484594,1.5923868,2.1079788,1.3839844,neutral
2.2034175,1.633017,1.8557838,1.5381538,2.1758168,1.6333116,2.1675615,1.4468931,neutral
2.1535008,1.8733739,1.802905,1.7899717,2.2046063,1.7777655,2.059234,1.2731043,neutral
1.9367477,1.6642667,1.8434541,1.37641,1.9335905,1.5079318,1.9924835,1.5873729,neutral
1.9862435,1.7362472,1.7982497,1.66508,1.840344,1.7584107,1.9657091,1.4221401,neutral
1.799958,1.9215482,1.7455795,1.5727402,1.7259574,1.6202921,2.0936286,1.3920363,neutral
2.0258532,1.9248451,1.8640293,1.4491858,2.0447903,1.6860389,2.227842,1.5319113,neutral
1.9321579,1.7458062,1.6332167,1.7349583,2.154227,1.4027712,1.9569883,1.2994854,neutral
